achievement_count,athlete_count,athlete.id,athlete.resource_state,average_cadence,average_heartrate,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_latlng1,end_latlng2,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,location_country,manual,map.id,map.resource_state,map.summary_polyline,max_heartrate,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,start_date,start_date_local,start_latitude,start_latlng1,start_latlng2,start_longitude,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,workout_type,average_watts,device_watts,kilojoules,max_watts,distance_km,distance_mi,elapsed_time_min,elapsed_time_hrs,moving_time_min,moving_time_hrs,wday,mday,yday,week,year,month,elapsed_hrs_cum_type,elapsed_dist_cum_type
4,1,23163300,1,NA,NA,7.3872,0,FALSE,FALSE,4.3245,2661,320,309,38.014743,-84.507573,E9AD3B46-0134-4147-9647-560D86675457,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1087054121,0,United States,FALSE,a1087054121,2,ez_gFbswbOkCjFyG|CsBiAhK_RVqHjIqID`G}B|CiAlKvW`BzBbDaC|FoK}CsAzNoDbAsA}Bu@yUbEvZ{ChG^nDkAjCfEjCxA{LuByHkAc@,NA,15.48,2107,Run around the arboretum,0,0,FALSE,2,2017-07-16T20:18:12Z,2017-07-16T16:18:12Z,38.015239,38.015239,-84.5037,-84.5037,(GMT-05:00) America/New_York,41.5,0,FALSE,Run,1191221854,1191221854,-14400,everyone,0,NA,NA,NA,NA,4.3245,2.6871188894999998,44.4,0.7,35.1,0.6,7,16,197,2017-07-10T00:00:00Z,2017,7,10077,12.3308589466
0,1,23163300,1,NA,NA,21.168,0,FALSE,FALSE,3.7455,649,320,294,38.03642,-84.498703,F87B43EE-66EB-43B2-B488-51206B3A5023,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1087075991,0,United States,FALSE,a1087075991,2,cz_gF|qwbO_Fn@j@iIeCiB{DhOkKlKoCVsG~PuAXcRgQ_`@_J{HwJjF_HOiAuNkUaEhD,NA,37.440000000000005,637,Back from the Arboretum,0,0,FALSE,2,2017-07-16T21:10:48Z,2017-07-16T17:10:48Z,38.015226,38.015226,-84.503507,-84.503507,(GMT-05:00) America/New_York,19.6,0,FALSE,Ride,1191244640,1191244640,-14400,everyone,10,74.6,FALSE,47.5,NA,3.7455,2.3273450804999998,10.8,0.2,10.6,0.2,7,16,197,2017-07-10T00:00:00Z,2017,7,38547,84.45687059420001
26,1,23163300,1,NA,NA,22.446,0,FALSE,FALSE,24.7829,4298,305.7,259.2,38.063687,-84.49481,02371AC7-E1FC-48F4-93E9-954376A500B7,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1088656132,1,United States,FALSE,a1088656132,2,ciigFj{ubO_GeAuOhSuWaIYeCyBOkGwL^aLgFu@cE_FeF~B{DuDyNnQg_@qLqKhX{FfVcOhUyL}FoTcDwQmKi[wAwJtQgX|r@sE}@}CzLqC|DFnDkFfRkHcJmPuEBoHoJcF_GtKuMvIiFzQoQeJ|AsHwM_O}FJcUaLeClG_Dl@iE_DuAkHmCt@wDvLbAxGqE|AtEcBgAcH`DyKxCeAxAhH|EhDpCu@`CmGtUfLpFKtMhNyAbIhQjJdFuQ~MwI~FsKtJfFUzGpPxEbI~IbFcSSoCrCuDjDaMtDnAlYqt@rJyPb[dBhQfK~SzCrM~F`OeUhGiWvJiWz_@rLjNuQ`ExDxE_ChEbF`Fn@a@~KjGvL|BH\rCvW`IzOoSxFlA,NA,39.96,3975,Afternoon Ride,0,25,FALSE,2,2017-07-17T21:36:23Z,2017-07-17T17:36:23Z,38.063701,38.063701,-84.494773,-84.494773,(GMT-05:00) America/New_York,157.6,0,FALSE,Ride,1192860469,1192860469,-14400,everyone,10,89,FALSE,353.7,NA,24.7829,15.399375355900002,71.6,1.2,66.2,1.1,1,17,198,2017-07-17T00:00:00Z,2017,7,42845,99.85624595010002
2,1,23163300,1,NA,NA,19.7028,0,FALSE,FALSE,3.8531,833,320,295,38.015223,-84.503561,56AB6AB1-352F-4B4B-AE43-319C252F09F4,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1093613482,0,United States,FALSE,a1093613482,2,ovcgFlhvbObCaCjTh]gFdIpFlJfb@pKdU~S|F}OzGkGtBKNcCbFcH|BcLdBfCYtHtEm@,NA,30.96,704,Evening Ride,0,0,FALSE,2,2017-07-20T22:46:18Z,2017-07-20T18:46:18Z,38.036209,38.036209,-84.498514,-84.498514,(GMT-05:00) America/New_York,46.7,0,FALSE,Ride,1197879003,1197879003,-14400,everyone,10,101.1,FALSE,71.2,NA,3.8531,2.3942046001,13.9,0.2,11.7,0.2,4,20,201,2017-07-17T00:00:00Z,2017,7,43678,102.25045055020001
0,1,23163300,1,NA,NA,7.8552,0,FALSE,FALSE,3.2802,1566,319.1,309,38.015259,-84.504243,70F4FAA7-5B71-4D96-898F-DA10890D1CC3,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1093641689,0,United States,FALSE,a1093641689,2,qy_gF~twbO\bS~AhB~Ci@dBaOvKzB~B{C{AuFeXwAt@}KnCoCKiGgJrJM~GmKrQbCjArK}G,NA,13.68,1503,Evening Run,0,0,FALSE,2,2017-07-20T23:05:29Z,2017-07-20T19:05:29Z,38.015138,38.015138,-84.503994,-84.503994,(GMT-05:00) America/New_York,31.6,0,FALSE,Run,1197907528,1197907528,-14400,everyone,0,NA,NA,NA,NA,3.2802,2.0382211542,26.1,0.4,25.1,0.4,4,20,201,2017-07-17T00:00:00Z,2017,7,11643,14.3690801008
1,1,23163300,1,NA,NA,12.387599999999999,0,FALSE,FALSE,4.349,2179,320,293.6,38.036379,-84.498626,1412D0D7-37DC-4F12-B93E-C13D9904E8D6,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1093682881,0,United States,FALSE,a1093682881,2,oy_gFlrwbOeFl@i@qBdAmGaCkAeDpNqJ|KuDdAoGdPyATcQuPq_@mIoE_EaL`LaTw^,NA,33.84,1264,Evening Ride,0,0,FALSE,2,2017-07-20T23:37:43Z,2017-07-20T19:37:43Z,38.015125,38.015125,-84.503587,-84.503587,(GMT-05:00) America/New_York,19.9,0,FALSE,Ride,1197949234,1197949234,-14400,everyone,10,48.2,FALSE,60.9,NA,4.349,2.7023424790000004,36.3,0.6,21.1,0.4,4,20,201,2017-07-17T00:00:00Z,2017,7,45857,104.95279302920001
3,1,23163300,1,NA,NA,8.7732,0,FALSE,FALSE,4.9888,2162,318,295,38.036307,-84.498701,F845D8D5-0CAE-4F33-98F6-5F4D59A11D22,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1124985072,0,United States,FALSE,a1124985072,2,uvcgF`hvbOt\g`@hDlEfFnAlE{LxUxD|JvFeV`p@gBfRoUcHN{BcIkDoRg[{ClB,NA,42.84,2047,Morning Run,0,0,FALSE,2,2017-08-09T12:51:25Z,2017-08-09T08:51:25Z,38.036355,38.036355,-84.498773,-84.498773,(GMT-05:00) America/New_York,33.4,0,FALSE,Run,1229740557,1229740557,-14400,everyone,0,NA,NA,NA,NA,4.9888,3.0998956448,36,0.6,34.1,0.6,3,9,221,2017-08-07T00:00:00Z,2017,8,13805,17.4689757456
28,2,23163300,1,NA,NA,20.736,0,FALSE,FALSE,24.7851,4950,305.7,259.2,38.063843,-84.494743,98FA3658-51BC-428C-8E03-DE9FDBA02E40,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1131831464,1,United States,FALSE,a1131831464,2,_jigFxzubOmFu@oKtKeCzFuWqISaCyBMuG}Ld@}KqF{@wDuE{EdCaE{DwNvQo_@gMqB~IsHdOcF~TeOfUwMmGcTeDkQaKmZ_B_KnQwXps@gEy@_DhLaDnENvC{E~RiImJcPsEDkHeJyE{F`KoNnJoFnQuPqJdBeIyFqDiFyH{FJeUyKiCfGcCv@_FmDwAgHwC`AmD~KjAtHsD~@zDmAmAoHdDyKxCy@fBfI`EhCfCi@nCuG`UdKnGPhFbI~EnC}ArIzQ~J`FmRvMqI`GoKvJ~EWrGnPjFxHpJzEsQ?yEzC_EbDyLzDhAdY_t@jJwPhZtA|RvK|RvCfNvFtNsT`Sap@``@~LnNaRzD~DdFaC`EzEdFx@c@`LpGbMlB?jAbDnVlHrCiG|J}JhFr@,NA,43.2,4303,Morning Ride,0,4,FALSE,2,2017-08-13T14:48:00Z,2017-08-13T10:48:00Z,38.063847,38.063847,-84.494689,-84.494689,(GMT-05:00) America/New_York,157.4,0,FALSE,Ride,1236729082,1236729082,-14400,everyone,10,83.3,FALSE,358.4,NA,24.7851,15.4007423721,82.5,1.4,71.7,1.2,7,13,225,2017-08-07T00:00:00Z,2017,8,50807,120.35353540130001
3,1,23163300,1,NA,NA,8.1864,0,FALSE,FALSE,4.960100000000001,2236,318,294,38.036462,-84.498656,982D754D-52EE-4DE3-B108-2787F3BF787A,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1136522318,0,United States,FALSE,a1136522318,2,qrcgFnqvbOxC_EqC{GnX{Z|KxGvDaM~VzEbJlF_Utk@sC~U{PoE}ByCwAb@yHoJmFv@}AkBmF`FyBiE,NA,18.720000000000002,2181,Morning Run,0,0,FALSE,2,2017-08-16T13:05:33Z,2017-08-16T09:05:33Z,38.0364,38.0364,-84.498636,-84.498636,(GMT-05:00) America/New_York,31.5,0,FALSE,Run,1241500480,1241500480,-14400,everyone,0,NA,NA,NA,NA,4.960100000000001,3.0820622971000002,37.3,0.6,36.4,0.6,3,16,228,2017-08-14T00:00:00Z,2017,8,16041,20.5510380427
2,1,23163300,1,NA,NA,8.1,0,FALSE,FALSE,5.1466,2381,318,293.9,38.036441,-84.498697,0C92B38F-C36F-4DB6-AFDA-4507635C5276,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1155337770,0,United States,FALSE,a1155337770,2,evcgFthvbOnByBpLdOfSkUnIu[dWbEpJ|F{Sjg@wG~f@uX}GuEeDcDkGyAzCiB_GoDeAiCkF,NA,25.56,2287,Afternoon Run,0,0,FALSE,2,2017-08-27T17:13:30Z,2017-08-27T13:13:30Z,38.036411,38.036411,-84.49873,-84.49873,(GMT-05:00) America/New_York,42.5,0,FALSE,Run,1260608641,1260608641,-14400,everyone,0,NA,NA,NA,NA,5.1466,3.1979479886,39.7,0.7,38.1,0.6,7,27,239,2017-08-21T00:00:00Z,2017,8,18422,23.7489860313
